,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
225,Albert Hughes,2.0,Tyrin Turner,2.0,Larenz Tate,2.0,Glenn Plummer,2.0
226,Stuart Baird,2.0,Kurt Russell,2.0,Steven Seagal,2.0,Halle Berry,1.0
227,Chris Columbus,2.0,Robin Williams,2.0,Sally Field,1.0,Pierce Brosnan,2.0
228,Christopher Cain,2.0,Pat Morita,2.0,Hilary Swank,1.0,Michael Ironside,2.0
229,Martin Campbell,2.0,Ray Liotta,2.0,Lance Henriksen,2.0,Stuart Wilson,2.0
230,Clint Eastwood,2.0,Kevin Costner,2.0,Clint Eastwood,2.0,Laura Dern,1.0
231,Jonathan Demme,2.0,Tom Hanks,2.0,Denzel Washington,2.0,Jason Robards,2.0
232,Jane Campion,1.0,Holly Hunter,1.0,Harvey Keitel,2.0,Sam Neill,2.0
233,John Singleton,2.0,Janet Jackson,1.0,Tupac Amaru Shakur,2.0,Regina King,1.0
234,David S. Ward,2.0,James Caan,2.0,Halle Berry,1.0,Omar Epps,2.0
235,Stuart Orme,2.0,Donald Sutherland,2.0,Eric Thal,2.0,Julie Warner,1.0
236,Ted Demme,2.0,Denis Leary,2.0,Judy Davis,1.0,Kevin Spacey,2.0
237,James Ivory,2.0,Anthony Hopkins,2.0,Emma Thompson,1.0,James Fox,2.0
238,Penny Marshall,1.0,Danny DeVito,2.0,Mark Wahlberg,2.0,Gregory Hines,2.0
239,Philip Kaufman,2.0,Sean Connery,2.0,Wesley Snipes,2.0,Harvey Keitel,2.0
240,Fred Dekker,2.0,Robert John Burke,2.0,Nancy Allen,1.0,Mario Machado,2.0
241,Mel Brooks,2.0,Cary Elwes,2.0,Dom DeLuise,2.0,Roger Rees,2.0
242,Peter Medak,2.0,Gary Oldman,2.0,Lena Olin,1.0,Annabella Sciorra,1.0
243,Victor Nunez,2.0,Ashley Judd,1.0,Todd Field,2.0,Bentley Mitchum,2.0
244,David Anspaugh,2.0,Sean Astin,2.0,Jon Favreau,2.0,Ned Beatty,2.0
245,Steven Spielberg,2.0,Liam Neeson,2.0,Ben Kingsley,2.0,Ralph Fiennes,2.0
246,Steven Zaillian,2.0,Max Pomeranc,2.0,Joe Mantegna,2.0,Joan Allen,1.0
247,John Waters,2.0,Kathleen Turner,1.0,Sam Waterston,2.0,Ricki Lake,1.0
248,Russell Mulcahy,2.0,Alec Baldwin,2.0,John Lone,2.0,Penelope Ann Miller,1.0
249,Robert Altman,2.0,Julianne Moore,1.0,Andie MacDowell,1.0,Tim Robbins,2.0
250,John Duigan,2.0,Hugh Grant,2.0,Tara Fitzgerald,1.0,Sam Neill,2.0
251,Nora Ephron,0.0,Tom Hanks,2.0,Meg Ryan,1.0,Bill Pullman,2.0
252,Phillip Noyce,2.0,Sharon Stone,1.0,William Baldwin,2.0,Tom Berenger,2.0
253,Ridley Scott,2.0,Harrison Ford,2.0,Rutger Hauer,2.0,Sean Young,1.0
254,Steve Rash,2.0,Pauly Shore,2.0,Carla Gugino,1.0,Lane Smith,2.0
255,Thomas Schlamme,2.0,Mike Myers,2.0,Nancy Travis,1.0,Anthony LaPaglia,2.0
256,Annabel Jankel,0.0,Bob Hoskins,2.0,John Leguizamo,2.0,Dennis Hopper,2.0
257,Ernest R. Dickerson,2.0,Ice-T,2.0,Rutger Hauer,2.0,Charles S. Dutton,2.0
258,Deran Sarafian,2.0,Charlie Sheen,2.0,Nastassja Kinski,1.0,James Gandolfini,2.0
259,Henry Selick,2.0,Danny Elfman,2.0,Chris Sarandon,2.0,Catherine O'Hara,0.0
260,Stephen Herek,2.0,Charlie Sheen,2.0,Kiefer Sutherland,2.0,Chris O'Donnell,2.0
261,George P. Cosmatos,2.0,Kurt Russell,2.0,Val Kilmer,2.0,Sam Elliott,2.0
262,Tony Scott,2.0,Christian Slater,2.0,Patricia Arquette,1.0,Michael Rapaport,2.0
